osm_id,category,name,lat,lon,capacity_estimate,capacity_source,pm2_5,us_aqi,observation_time,province,is_shelter
health_facility_0,health_facility,CSR Pnc Dilala (Centre de Santé de Référence),-10.705629999999928,25.477786667000032,50,type_based_estimate_non_shelter,24.0,92.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_1,health_facility,CSR 41 Nkumanwa (Centre de Santé de Référence),-11.445684999999967,27.71306500000003,50,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_2,health_facility,PS Die Mom (Poste de Santé),-11.36615299999994,27.777428000000043,15,type_based_estimate_non_shelter,24.0,91.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_3,health_facility,PS Gaston (Poste de Santé),-11.36534199999994,27.776557000000025,15,type_based_estimate_non_shelter,24.0,91.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_4,health_facility,PS Imani (Poste de Santé),-11.365529999999978,27.779385000000048,15,type_based_estimate_non_shelter,24.0,91.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_5,health_facility,PS Kakana Marluc (Poste de Santé),-11.364832999999976,27.775090000000034,15,type_based_estimate_non_shelter,24.0,91.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_6,health_facility,PS Marie Immaculee Conception (Poste de Santé),-11.363129999999956,27.77578800000004,15,type_based_estimate_non_shelter,24.0,91.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_7,health_facility,CM Mulombozi (Centre Médical),-11.366919999999936,27.77301300000005,40,type_based_estimate_non_shelter,24.0,91.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_8,health_facility,PS Peniel (Poste de Santé),-11.365309999999964,27.77854000000008,15,type_based_estimate_non_shelter,24.0,91.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_9,health_facility,PS Kakana (Poste de Santé),-11.364774999999952,27.77512500000006,15,type_based_estimate_non_shelter,24.0,91.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_10,health_facility,PS Sukwila (Poste de Santé),-11.360087999999962,27.778527000000054,15,type_based_estimate_non_shelter,24.0,91.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_11,health_facility,PS Valentine (Poste de Santé),-11.365757999999971,27.77799500000004,15,type_based_estimate_non_shelter,24.0,91.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_12,health_facility,CS Adra 31 (Centre de Santé),-11.479352999999946,27.64128700000004,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_13,health_facility,CS Mikembo (Centre de Santé),-11.461319999999944,27.67114800000008,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
