LAT,LON,YEAR,DOY,PRECTOTCORR,RH2M,T2M_MAX,T2M_MIN,WS2M,fire_occurred,fire_count,frp_sum,frp_mean,frp_max,brightness_mean,bright_t31_mean,any_high_confidence,WD2M
36.0,5.0,2020,1,0.01,78.08,11.61,0.17,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,1,0.01,84.49,10.22,-0.07,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,1,0.01,84.37,10.38,-0.45,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,1,0.0,85.11,10.34,-1.13,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,7.5,2020,1,0.0,85.75,9.86,-1.83,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,1,0.02,84.47,11.05,-1.45,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,1,0.04,83.12,11.98,1.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.625,2020,1,0.01,81.33,10.87,3.51,1.04,1.0,2.0,4.0600000000000005,2.03,2.18,312.05,273.945,0.0,
36.5,6.25,2020,1,0.01,81.72,12.04,3.11,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,1,0.0,85.54,12.15,0.28,1.32,1.0,4.0,6.76,1.69,2.24,308.7225,274.29,0.0,
36.5,7.5,2020,1,0.01,83.42,12.58,-0.26,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,1,0.06,83.7,11.73,-0.15,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,1,0.0,66.82,13.59,11.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.625,2020,1,0.01,65.9,13.67,12.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.25,2020,1,0.01,67.87,13.9,10.15,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.875,2020,1,0.01,67.1,14.41,9.74,1.81,1.0,9.0,24.71,2.745555555555556,4.91,326.92555555555555,280.07222222222225,0.0,
37.0,7.5,2020,1,0.02,64.79,14.93,11.46,2.14,1.0,3.0,6.74,2.2466666666666666,3.29,310.35,277.1566666666667,0.0,
37.0,8.125,2020,1,0.08,67.18,14.57,11.14,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.0,2020,2,0.0,73.95,11.74,-0.81,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,2,0.0,75.21,12.31,-0.25,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,2,0.0,73.28,13.83,-0.89,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,2,0.01,70.8,14.2,-0.49,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,7.5,2020,2,0.02,67.73,13.97,-0.3,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,2,0.03,70.56,14.66,0.9,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,2,0.01,76.4,14.04,-0.54,0.57,1.0,1.0,3.43,3.43,3.43,337.27,285.95,0.0,
36.5,5.625,2020,2,0.0,72.48,13.9,2.85,1.41,1.0,2.0,4.3,2.15,2.96,309.985,273.41,0.0,
36.5,6.25,2020,2,0.0,74.45,14.7,1.76,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,2,0.01,75.17,14.55,0.37,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,7.5,2020,2,0.02,77.51,15.03,1.19,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,2,0.01,79.99,13.76,2.18,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,2,0.0,63.75,15.38,12.35,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.625,2020,2,0.0,65.01,14.38,11.32,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.25,2020,2,0.0,69.17,13.99,8.7,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.875,2020,2,0.0,67.56,14.29,9.19,1.53,1.0,6.0,17.25,2.875,3.34,329.77,284.985,0.0,
37.0,7.5,2020,2,0.0,66.67,14.7,10.78,1.51,1.0,4.0,3.98,0.995,1.41,301.6925,279.015,0.0,
37.0,8.125,2020,2,0.01,66.16,14.73,11.54,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.0,2020,3,0.0,55.35,14.12,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,3,0.0,58.78,14.48,-1.04,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,3,0.0,59.21,15.44,-0.56,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,3,0.0,63.67,14.79,-0.27,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,7.5,2020,3,0.0,67.36,14.35,-0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,3,0.0,64.73,15.66,0.03,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,3,0.0,67.15,15.42,0.97,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.625,2020,3,0.0,68.65,14.74,2.25,1.46,1.0,1.0,0.48,0.48,0.48,296.81,272.46,0.0,
36.5,6.25,2020,3,0.0,72.13,15.31,1.3,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,3,0.0,73.11,15.1,0.57,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,7.5,2020,3,0.0,73.3,15.46,1.02,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,3,0.0,74.0,14.66,0.37,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,3,0.01,67.82,15.18,11.62,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.625,2020,3,0.01,67.92,14.98,11.77,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.25,2020,3,0.01,68.09,15.18,9.5,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.875,2020,3,0.0,66.42,15.25,9.47,1.63,1.0,8.0,27.95,3.49375,5.31,326.06875,280.9775,0.0,
37.0,7.5,2020,3,0.01,66.1,15.04,10.3,1.6,1.0,3.0,3.43,1.143333333333333,1.33,306.01,279.36,0.0,
37.0,8.125,2020,3,0.0,66.98,14.79,10.31,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.0,2020,4,0.04,87.54,9.94,-2.33,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,4,0.04,89.82,9.19,-1.62,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,4,0.12,88.42,10.19,1.09,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,4,0.21,89.72,9.8,0.13,1.66,1.0,1.0,0.78,0.78,0.78,298.29,271.69,0.0,
36.0,7.5,2020,4,0.34,91.57,9.55,-0.66,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,4,0.45,89.24,10.83,0.16,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,4,0.16,92.61,9.72,3.29,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.625,2020,4,0.12,91.61,9.94,2.51,1.38,1.0,2.0,2.88,1.44,1.59,304.08,273.185,0.0,
36.5,6.25,2020,4,0.24,91.13,11.16,2.89,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,4,0.36,92.61,11.02,1.6,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,7.5,2020,4,0.59,92.93,11.43,1.82,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,4,0.76,95.02,10.1,2.15,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,4,0.23,76.85,13.87,11.97,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
